DEALER DEAL;PLAYER DEAL;DEALER CALL FLOP;PLAYER CALL FLOP;DEALER BET TURN;PLAYER BET TURN;DEALER BET RIVER;PLAYER BET RIVER;WINNER;COUNT;PERCENT
HIGH_CARD;HIGH_CARD;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;Player;11;0.11%
HIGH_CARD;HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;FULL_HOUSE;FLUSH;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;FLUSH;TWO_PAIR;Player;1;0.01%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;Player;3;0.03%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;STRAIGHT;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;Player;4;0.04%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;FLUSH;TWO_PAIR;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;646;6.46%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;9;0.09%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;Player;65;0.65%
HIGH_CARD;ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;ONE_PAIR;FOUR_OF_A_KIND;ONE_PAIR;FOUR_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;Player;631;6.31%
HIGH_CARD;HIGH_CARD;ONE_PAIR;TWO_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;Player;28;0.28%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;STRAIGHT;Player;2;0.02%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;STRAIGHT;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;HIGH_CARD;FULL_HOUSE;ONE_PAIR;FULL_HOUSE;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;HIGH_CARD;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;Player;15;0.15%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;TWO_PAIR;HIGH_CARD;TWO_PAIR;ONE_PAIR;FULL_HOUSE;Player;6;0.06%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;Player;88;0.88%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;THREE_OF_A_KIND;FLUSH;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;Draw Game;18;0.18%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;THREE_OF_A_KIND;Player;1;0.01%
